Isotope	<th>	conc	<th>	Coh_b	<th>	Inc_b	<th>	Coh_xs	<th>	Inc_xs	<th>	Scatt_xs	<th>	Abs_xs	<th> Mass<th>Radius
	232Th	<td>	100	<td>	10.31	<td>	0	<td>	13.36	<td>	0	<td>	13.36	<td>	7.37	<td> 232.0380508 <td> 1.8
	231Pa	<td>	(3.28E4 a)	<td>	9.1	<td>	---	<td>	10.4	<td>	0.1(3.3)	<td>	10.5(3.2)	<td>	200.6(2.3)	<td> 231.035880<td> 1.8
	U	<td>	---	<td>	8.417	<td>	---	<td>	8.903	<td>	0.005	<td>	8.908	<td>	7.57	<td> 238.02891<td> 1.75
	233U	<td>	0	<td>	10.1	<td>	(+/-)1.(3.)	<td>	12.8	<td>	0.1	<td>	12.9	<td>	574.7(1.0)	<td> 233.039628<td> 1.75
	234U	<td>	0.005	<td>	12.4	<td>	0	<td>	19.3	<td>	0	<td>	19.3	<td>	100.1(1.3)	<td> 234.0409468<td> 1.75
	235U	<td>	0.72	<td>	10.47	<td>	(+/-)1.3	<td>	13.78	<td>	0.2	<td>	14	<td>	680.9(1.1)	<td> 235.0439242<td> 1.75
	238U	<td>	99.275	<td>	8.402	<td>	0	<td>	8.871	<td>	0	<td>	8.871	<td>	2.68	<td> 238.0507847<td> 1.75
	237Np	<td>	1	<td>	10.55	<td>	---	<td>	14	<td>	0.5	<td>	14.5	<td>	175.9(2.9)	<td> 237.0481678 <td> 1.75
	Pu	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td> 244 <td> 1.75
	238Pu	<td>	(87.74 a)	<td>	14.1	<td>	0	<td>	25.0(1.8)	<td>	0	<td>	25.0(1.8)	<td>	558.(7.)	<td> 238.04955<td> 1.75
	239Pu	<td>	(2.41E4 a)	<td>	7.7	<td>	(+/-)1.3(1.9)	<td>	7.5	<td>	0.2	<td>	7.7	<td>	1017.3(2.1)	<td> 239.05216<td> 1.75
	240Pu	<td>	(6.56E3 a)	<td>	3.5	<td>	0	<td>	1.54	<td>	0	<td>	1.54	<td>	289.6(1.4)	<td> 240.05381<td> 1.75
	242Pu	<td>	(3.76E5 a)	<td>	8.1	<td>	0	<td>	8.2	<td>	0	<td>	8.2	<td>	18.5	<td> 242.05874<td> 1.75
	243Am	<td>	(7.37E3 a)	<td>	8.3	<td>	(+/-)2.(7.)	<td>	8.7	<td>	0.3	<td>	9.0(2.6)	<td>	75.3(1.8)	<td> 243.061375<td> 1.75
	Cm	<td>	---	<td>	---	<td>	---	<td>	0	<td>	---	<td>	---	<td>	---	<td> 247 <td> 1.75
	244Cm	<td>	(18.10 a)	<td>	9.5	<td>	0	<td>	11.3	<td>	0	<td>	11.3	<td>	16.2(1.2)	<td> 244.06275<td> 1.75
	246Cm	<td>	(4.7E3 a)	<td>	9.3	<td>	0	<td>	10.9	<td>	0	<td>	10.9	<td>	1.36	<td> 246.06722<td> 1.75
	248Cm	<td>	(3.5E5 a)	<td>	7.7	<td>	0	<td>	7.5	<td>	0	<td>	7.5	<td>	3	<td> 248.07234<td> 1.75
        Unk       <td>    ---     <td>    0.0 <td>    ---     <td>    0.0  <td>    0.0001    <td>    0.0001     <td>    5    <td> 50.942<td> 1.35
        Unk1       <td>    ---     <td>    0.0 <td>    ---     <td>    0.0  <td>    0.0    <td>    0     <td>    5    <td> 50.942<td> 1.35
