Isotope	<th>	conc	<th>	Coh_b	<th>	Inc_b	<th>	Coh_xs	<th>	Inc_xs	<th>	Scatt_xs	<th>	Abs_xs	<th> Mass<th>Radius
	46Ca	<td>	0.004	<td>	3.6	<td>	0	<td>	1.6	<td>	0	<td>	1.6	<td>	0.74	<td> 45.953689<td> 1.8
	48Ca	<td>	0.187	<td>	0.39	<td>	0	<td>	0.019	<td>	0	<td>	0.019	<td>	1.09	<td> 47.952533<td> 1.8
	Sc	<td>	100	<td>	12.29	<td>	-6.0	<td>	19	<td>	4.5	<td>	23.5	<td>	27.5	<td> 44.956<td> 1.6
	Ti	<td>	---	<td>	-3.438	<td>	---	<td>	1.485	<td>	2.87	<td>	4.35	<td>	6.09	<td> 47.867<td> 1.4
	46Ti	<td>	8.2	<td>	4.93	<td>	0	<td>	3.05	<td>	0	<td>	3.05	<td>	0.59	<td> 45.9526294<td> 1.4
	47Ti	<td>	7.4	<td>	3.63	<td>	-3.5	<td>	1.66	<td>	1.5	<td>	3.2	<td>	1.7	<td> 46.9517640<td> 1.4
	48Ti	<td>	73.8	<td>	-6.08	<td>	0	<td>	4.65	<td>	0	<td>	4.65	<td>	7.84	<td> 47.9479473<td> 1.4
	49Ti	<td>	5.4	<td>	1.04	<td>	5.1	<td>	0.14	<td>	3.3	<td>	3.4	<td>	2.2	<td> 48.9478711<td> 1.4
	50Ti	<td>	5.2	<td>	6.18	<td>	0	<td>	4.8	<td>	0	<td>	4.8	<td>	0.179	<td> 49.9447921<td> 1.4
	V	<td>	---	<td>	-0.3824	<td>	---	<td>	0.0184	<td>	5.08	<td>	5.1	<td>	5.08	<td> 50.942<td> 1.35
	50V	<td>	0.25	<td>	7.6	<td>	---	<td>	7.3(1.1)	<td>	0.5	<td>	7.8(1.0)	<td>	60.(40.)	<td> 49.9471609<td> 1.35
	51V	<td>	99.75	<td>	-0.402	<td>	6.35	<td>	0.0203	<td>	5.07	<td>	5.09	<td>	4.9	<td> 50.9439617<td> 1.35
	Cr	<td>	---	<td>	3.635	<td>	---	<td>	1.66	<td>	1.83	<td>	3.49	<td>	3.05	<td> 51.996<td> 1.4
